Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"5402 77th St W, Lakewood, WA 98499",Lakewood,WA,98499,"47.18731530171033, -122.50898303297306",1
"7721 Dean St W, Lakewood, WA 98499",Lakewood,WA,98499,"47.18654548581142, -122.50966953847198",4
"8611 Steilacoom Blvd SW, Lakewood, WA 98498",Lakewood,WA,98498,"47.179228945499005, -122.55208087407269",2
"1502 S Orchard St, Tacoma, WA 98405",Tacoma,WA,98405,"47.24682017975076, -122.50666086099552",2
"3102 6th Ave, Tacoma, WA 98406",Tacoma,WA,98406,"47.255209737473784, -122.47662012130947",1
"2150 Commerce St #200, Tacoma, WA 98402",Tacoma,WA,98402,"47.24215874009772, -122.43713800629347",6
"516 Valley Ave NE, Puyallup, WA 98372",Puyallup,WA,98372,"47.20483562534835, -122.28820226734574",1
"133-299 9th Ave SW, Puyallup, WA 98371",Puyallup,WA,98371,"47.199820590840254, -122.29558370624004",4
"941 S Meridian, Puyallup, WA 98371",Puyallup,WA,98371,"47.182549159154036, -122.29139838836056",3
"1099 Wood Ave, Sumner, WA 98390",Sumner,WA,98390,"47.20401951067882, -122.23666650201712",3
"712 Shaw Rd E, Puyallup, WA 98372",Puyallup,WA,98372,"47.18565879163324, -122.25919808298818",2
"15367 Main St E, Sumner, WA 98390",Sumner,WA,98390,"47.202897589855844, -122.22431983265844",4
"5816 162nd Ave E, Sumner, WA 98390",Sumner,WA,98390,"47.20348422156889, -122.21482182778574",8
"1009 39th Ave SE, Puyallup, WA 98374",Puyallup,WA,98374,"47.155212086674986, -122.28044440690597",2
"3500 5th St SW, Puyallup, WA 98373",Puyallup,WA,98373,"47.15653318487875, -122.29814523416866",8
"11012 Canyon Rd E, Puyallup, WA 98373",Puyallup,WA,98373,"47.155946034176374, -122.35901881085255",2
"8931 Gravelly Lake Dr SW, Lakewood, WA 98499",Lakewood,WA,98499,"47.174962369549355, -122.51223373767486",3
"100 Barksdale Ave, DuPont, WA 98327",DuPont,WA,98327,"47.094343427263325, -122.62628103225839",2
"975 Ross Ave, DuPont, WA 98327",DuPont,WA,98327,"47.09215340863597, -122.64263840770595",1
"2548 Hogum Bay Rd NE, Olympia, WA 98516",Olympia,WA,98516,"47.068225717020276, -122.76298190079855",5
"8519 Oya Ln SE, Lacey, WA 98513",Lacey,WA,98513,"47.036174905146865, -122.75849332237492",12
"1401 Galaxy Dr NE, Lacey, WA 98516",Lacey,WA,98516,"47.05940133765089, -122.77217151898307",12
"8000 Freedom Ln NE, Lacey, WA 98516",Lacey,WA,98516,"47.061770374405334, -122.77093203026041",1
"2555 Marvin Rd NE, Lacey, WA 98516",Lacey,WA,98516,"47.06978892019793, -122.77343860856517",2
"300 Desmond Dr SE, Lacey, WA 98503",Lacey,WA,98503,"47.04746629941897, -122.80650003674425",2
"676 Woodland Square Loop SE, Lacey, WA 98509",Lacey,WA,98509,"47.04170411924673, -122.82538881662109",8
"4044 Pacific Ave SE, Lacey, WA 98503",Lacey,WA,98503,"47.03999711165567, -122.83452950058148",4
"665 Sleater Kinney Rd SE, Lacey, WA 98503",Lacey,WA,98503,"47.04247362754787, -122.83438862927821",12
"510 Pattison St SE, Olympia, WA 98507",Olympia,WA,98507,"47.04559669060225, -122.85772971940185",6
"4775 Whitman Ln SE, Lacey, WA 98513",Lacey,WA,98513,"46.995678378283536, -122.82343136766967",8
"2301 Henderson Park Ln SE, Olympia, WA 98501",Olympia,WA,98501,"47.02828658310752, -122.89462062683278",6
"123, 4th Avenue W., Olympia, WA, 98501, US, Olympia, WA 98501",Olympia,WA,98501,"47.04462809674227, -122.90257066929465",4
"1725 Evergreen Park Dr SW, Olympia, WA 98502",Olympia,WA,98502,"47.027959346720785, -122.92331600555383",2
"2925 Harrison Ave NW, Olympia, WA 98502",Olympia,WA,98502,"47.045377778334874, -122.93646830076105",8
"625 Black Lake Blvd SW, Olympia, WA 98502",Olympia,WA,98502,"47.04199070547935, -122.93840125729486",5
"2700 Evergreen Pkwy NW, Olympia, WA 98505",Olympia,WA,98505,"47.07169601432551, -122.97326392940613",2
